NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
413667	LOC413667	G2/mitotic-specific cyclin-B3	PROTEIN_CODING	42971	NCBI Ortholog	NC_037648.1	11152971	11158456
413669	LOC413669	protein lap4	PROTEIN_CODING	44448	NCBI Ortholog	NC_037641.1	3355479	3402249
413674	LOC413674	protein BCCIP homolog	PROTEIN_CODING	41690	NCBI Ortholog	NC_037638.1	15656430	15658246
413675	LOC413675	nuclear pore complex protein Nup107	PROTEIN_CODING	34481	NCBI Ortholog	NC_037638.1	15721887	15725926
413677	LOC413677	rho guanine nucleotide exchange factor 10	PROTEIN_CODING	32729	NCBI Ortholog	NC_037638.1	11982113	12020267
413678	LOC413678	serine--pyruvate aminotransferase, mitochondrial	PROTEIN_CODING	31587	NCBI Ortholog	NC_037638.1	11977495	11982389
413683	LOC413683	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein	PROTEIN_CODING	35783	NCBI Ortholog	NC_037647.1	5753580	5786529
413684	LOC413684	gustatory receptor for sugar taste 64f	PROTEIN_CODING			NC_037642.1	12762374	12768427
413688	LOC413688	DNA-directed RNA polymerase III subunit RPC5	PROTEIN_CODING	40325	NCBI Ortholog	NC_037651.1	1445838	1448832
413690	LOC413690	helicase SKI2W	PROTEIN_CODING	42813	NCBI Ortholog	NC_037642.1	7072660	7077383
413699	LOC413699	ubiquitin thioesterase trabid	PROTEIN_CODING	41179	NCBI Ortholog	NC_037644.1	212074	219213
413705	LOC413705	acidic mammalian chitinase	PROTEIN_CODING			NC_037642.1	6546787	6550069
413709	LOC413709	F-box only protein 9	PROTEIN_CODING	41541	NCBI Ortholog	NC_037649.1	2394977	2397181
413713	LOC413713	glycosyltransferase 25 family member	PROTEIN_CODING	319025	NCBI Ortholog	NC_037638.1	10725659	10729172
413714	LOC413714	ATP synthase mitochondrial F1 complex assembly factor 2	PROTEIN_CODING	35399	NCBI Ortholog	NC_037649.1	8639249	8640540
413720	LOC413720	nucleolar protein 14 homolog	PROTEIN_CODING	46201	NCBI Ortholog	NC_037644.1	13826	17424
413721	LOC413721	uncharacterized LOC413721	PROTEIN_CODING			NC_037644.1	52745	106490
413727	LOC413727	probable ATP-dependent RNA helicase pitchoune	PROTEIN_CODING	42595	NCBI Ortholog	NC_037641.1	5644425	5648486
413735	LOC413735	glutamate--cysteine ligase regulatory subunit	PROTEIN_CODING	248194	NCBI Ortholog	NC_037638.1	5227396	5232081
413740	LOC413740	iodotyrosine deiodinase 1	PROTEIN_CODING	39242	NCBI Ortholog	NC_037645.1	3883175	3885050
413746	LOC413746	adrenodoxin	PROTEIN_CODING	38530	NCBI Ortholog	NC_037643.1	13355761	13357848
413749	LOC413749	serine protease inhibitor 88Ea	PROTEIN_CODING			NC_037647.1	4943450	4949670
413754	LOC413754	polycomb protein Sfmbt	PROTEIN_CODING			NC_037638.1	7971326	7976718
413755	LOC413755	attractin	PROTEIN_CODING	43315	NCBI Ortholog	NC_037652.1	3448583	3471092
413758	LOC413758	U3 small nucleolar RNA-associated protein 14 homolog A	PROTEIN_CODING	39689	NCBI Ortholog	NC_037647.1	11858706	11862672
413763	LOC413763	hydroxymethylglutaryl-CoA synthase 1	PROTEIN_CODING	44154	NCBI Ortholog	NC_037642.1	9436640	9438635
413766	LOC413766	protein suppressor of hairy wing	PROTEIN_CODING			NC_037642.1	9388823	9392306
413774	LOC413774	39S ribosomal protein L47, mitochondrial	PROTEIN_CODING	41141	NCBI Ortholog	NC_037653.1	3023760	3025701
413781	LOC413781	surfeit locus protein 1	PROTEIN_CODING	44498	NCBI Ortholog	NC_037643.1	16844775	16846430
413782	LOC413782	cartilage oligomeric matrix protein	PROTEIN_CODING	33941	NCBI Ortholog	NC_037643.1	16848239	16857688
413783	LOC413783	C-Maf-inducing protein	PROTEIN_CODING			NC_037643.1	16862266	16878342
413791	LOC413791	TBC1 domain family member 24	PROTEIN_CODING	35359	NCBI Ortholog	NC_037640.1	10683575	10723075
413792	LOC413792	nucleoprotein TPR	PROTEIN_CODING	33299	NCBI Ortholog	NC_037647.1	10255620	10260864
413796	LOC413796	methionine--tRNA ligase, cytoplasmic	PROTEIN_CODING	37177	NCBI Ortholog	NC_037643.1	1686339	1691694
413799	LOC413799	mitochondrial import inner membrane translocase subunit Tim17-A	PROTEIN_CODING			NC_037653.1	4513688	4515085
413814	LOC413814	transcription elongation factor SPT5	PROTEIN_CODING	53442	NCBI Ortholog	NC_037645.1	295491	300707
413816	LOC413816	sodium-independent sulfate anion transporter	PROTEIN_CODING			NC_037648.1	10017771	10029620
413827	LOC413827	ras-related protein Rab-40C	PROTEIN_CODING	32195	NCBI Ortholog	NC_037648.1	7087744	7089675
413833	LOC413833	cytochrome P450 4C1	PROTEIN_CODING			NC_037648.1	9904526	9909050
413842	LOC413842	splicing factor U2af 38 kDa subunit	PROTEIN_CODING	33201	NCBI Ortholog	NC_037649.1	7792786	7794308
413844	LOC413844	ATP-binding cassette sub-family G member 5	PROTEIN_CODING	42975	NCBI Ortholog	NC_037645.1	7254371	7262356
413852	LOC413852	nitrilase and fragile histidine triad fusion protein NitFhit	PROTEIN_CODING	38029	NCBI Ortholog	NC_037653.1	4812585	4814805
413854	LOC413854	xylosyltransferase oxt	PROTEIN_CODING	38288	NCBI Ortholog	NC_037651.1	2577936	2581492
413855	LOC413855	rho GTPase-activating protein 24	PROTEIN_CODING			NC_037638.1	25309748	25313949
413867	LOC413867	transaldolase	PROTEIN_CODING	37804	NCBI Ortholog	NC_037638.1	6576111	6579230
413868	LOC413868	60S ribosomal protein L10a	PROTEIN_CODING	39338	NCBI Ortholog	NC_037638.1	6569130	6571369
413869	LOC413869	retinol dehydrogenase 11	PROTEIN_CODING			NC_037639.1	4514526	4516478
413870	LOC413870	suppressor of hairless protein	PROTEIN_CODING	34881	NCBI Ortholog	NC_037642.1	13620903	13627441
413873	LOC413873	S phase cyclin A-associated protein in the endoplasmic reticulum	PROTEIN_CODING	35149	NCBI Ortholog	NC_037644.1	5834224	5875124
413875	LOC413875	60S ribosomal protein L31	PROTEIN_CODING	35988	NCBI Ortholog	NC_037645.1	9476484	9477555
413877	LOC413877	nuclear cap-binding protein subunit 2	PROTEIN_CODING	42166	NCBI Ortholog	NC_037643.1	16466009	16466971
413878	LOC413878	glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	PROTEIN_CODING	42283	NCBI Ortholog	NC_037651.1	1593488	1595217
413880	LOC413880	peroxisomal targeting signal 1 receptor	PROTEIN_CODING	31141	NCBI Ortholog	NC_037650.1	3479641	3482930
413881	LOC413881	AP-3 complex subunit sigma-2	PROTEIN_CODING	43943	NCBI Ortholog	NC_037650.1	3469729	3471712
413884	LOC413884	ubiquitin-40S ribosomal protein S27a	PROTEIN_CODING	34420	NCBI Ortholog	NC_037641.1	5689116	5691936
413889	LOC413889	cytoplasmic tRNA 2-thiolation protein 1	PROTEIN_CODING	35920	NCBI Ortholog	NC_037640.1	8285666	8287672
413891	LOC413891	NADH-ubiquinone oxidoreductase 49 kDa subunit	PROTEIN_CODING	43798	NCBI Ortholog	NC_037653.1	815387	817645
413898	LOC413898	protein YIPF6	PROTEIN_CODING	33643	NCBI Ortholog	NC_037643.1	15656730	15660734
413899	LOC413899	tetratricopeptide repeat protein 8	PROTEIN_CODING	33217	NCBI Ortholog	NC_037643.1	15653154	15656158
413914	LOC413914	carbohydrate sulfotransferase 11	PROTEIN_CODING	38249	NCBI Ortholog	NC_037645.1	1785365	1797553
413915	LOC413915	Golgi SNAP receptor complex member 1	PROTEIN_CODING	248102	NCBI Ortholog	NC_037645.1	1799744	1801638
413919	LOC413919	protein Lilipod	PROTEIN_CODING	42956	NCBI Ortholog	NC_037645.1	1732663	1740678
413926	LOC413926	sentrin-specific protease 1	PROTEIN_CODING			NC_037642.1	10950493	10952984
413928	LOC413928	39S ribosomal protein L13, mitochondrial	PROTEIN_CODING	35145	NCBI Ortholog	NC_037639.1	6330986	6332319
413929	LOC413929	egl nine homolog 1	PROTEIN_CODING	40633	NCBI Ortholog	NC_037642.1	2976563	2992133
413935	LOC413935	nucleolar protein 58	PROTEIN_CODING	33966	NCBI Ortholog	NC_037642.1	10881349	10883702
413948	LOC413948	tektin-1	PROTEIN_CODING	38653	NCBI Ortholog	NC_037640.1	4326203	4330366
413958	LOC413958	apoptosis-inducing factor 3	PROTEIN_CODING			NC_037644.1	3509339	3512955
413964	LOC413964	serine/threonine-protein kinase grp	PROTEIN_CODING	34993	NCBI Ortholog	NC_037652.1	7424818	7427993
413968	LOC413968	dystrophin	PROTEIN_CODING			NC_037638.1	21056130	21469905
413971	LOC413971	BTB/POZ domain-containing protein 1	PROTEIN_CODING			NC_037643.1	6476579	6479682
413976	LOC413976	derlin-2	PROTEIN_CODING	42005	NCBI Ortholog	NC_037645.1	8564426	8566545
413980	LOC413980	CD109 antigen	PROTEIN_CODING	44071	NCBI Ortholog	NC_037650.1	2088521	2094561
413997	LOC413997	translocator protein	PROTEIN_CODING	33231	NCBI Ortholog	NC_037640.1	8131332	8132637
413998	LOC413998	lateral signaling target protein 2 homolog	PROTEIN_CODING	43271	NCBI Ortholog	NC_037643.1	1919282	1967171
414001	LOC414001	mRNA-capping enzyme	PROTEIN_CODING	32379	NCBI Ortholog	NC_037648.1	13571409	13575564
414009	LOC414009	microprocessor complex subunit DGCR8	PROTEIN_CODING	43728	NCBI Ortholog	NC_037645.1	3484759	3489292
414011	LOC414011	mitochondrial glutamate carrier 1	PROTEIN_CODING			NC_037642.1	384186	398305
414014	LOC414014	cold shock domain-containing protein E1	PROTEIN_CODING	38963	NCBI Ortholog	NC_037644.1	12110931	12117173
414017	LOC414017	protein Daple	PROTEIN_CODING	38385	NCBI Ortholog	NC_037638.1	4500967	4510818
414022	LOC414022	ankyrin repeat domain-containing protein 12	PROTEIN_CODING			NC_037638.1	6386706	6406227
414027	LOC414027	N-alpha-acetyltransferase 20	PROTEIN_CODING	32962	NCBI Ortholog	NC_037647.1	8687821	8689285
414028	LOC414028	sorting nexin-4	PROTEIN_CODING			NC_037644.1	5690615	5694952
414032	LOC414032	tubulin polyglutamylase TTLL5	PROTEIN_CODING	43015	NCBI Ortholog	NC_037642.1	8457126	8486687
414036	LOC414036	ankyrin repeat domain-containing protein 39	PROTEIN_CODING			NC_037653.1	7130902	7135617
414043	LOC414043	leucine-rich repeat-containing protein 49	PROTEIN_CODING	38582	NCBI Ortholog	NC_037642.1	6551954	6555880
414048	LOC414048	ribosome biogenesis protein BMS1 homolog	PROTEIN_CODING	39904	NCBI Ortholog	NC_037647.1	9978935	9982803
414051	LOC414051	ATP-binding cassette sub-family G member 1	PROTEIN_CODING	33171	NCBI Ortholog	NC_037641.1	12566991	12574808
550651	LOC550651	40S ribosomal protein S4	PROTEIN_CODING	39484	NCBI Ortholog	NC_037647.1	9420650	9422958
550655	LOC550655	protein FAM49B	PROTEIN_CODING	39206	NCBI Ortholog	NC_037648.1	9040781	9068098
550659	LOC550659	adiponectin receptor protein	PROTEIN_CODING	42656	NCBI Ortholog	NC_037652.1	2799180	2802767
550664	LOC550664	deubiquitinase DESI2	PROTEIN_CODING	36138	NCBI Ortholog	NC_037639.1	10170652	10173751
550665	LOC550665	transcription initiation factor IIA subunit 2	PROTEIN_CODING	42822	NCBI Ortholog	NC_037639.1	8134184	8135771
550673	LOC550673	inosine-5'-monophosphate dehydrogenase 1b	PROTEIN_CODING	43873	NCBI Ortholog	NC_037642.1	5299679	5302044
550685	LOC550685	striatin-3	PROTEIN_CODING	34096	NCBI Ortholog	NC_037647.1	6400630	6406033
550689	LOC550689	E3 ubiquitin-protein ligase RNF126	PROTEIN_CODING	41080	NCBI Ortholog	NC_037643.1	15352326	15358797
550691	LOC550691	putative inorganic phosphate cotransporter	PROTEIN_CODING	33695	NCBI Ortholog	NC_037640.1	1042599	1051597
550692	LOC550692	TATA-box-binding protein	PROTEIN_CODING	37476	NCBI Ortholog	NC_037646.1	1638156	1639775
550694	LOC550694	T-complex protein 1 subunit eta	PROTEIN_CODING	41054	NCBI Ortholog	NC_037644.1	10646013	10649197
550695	LOC550695	carnitine O-palmitoyltransferase 1, liver isoform	PROTEIN_CODING	36109	NCBI Ortholog	NC_037639.1	596863	625746
550698	LOC550698	cyclin-Y	PROTEIN_CODING	34593	NCBI Ortholog	NC_037645.1	11716342	11719045
550700	LOC550700	vacuolar protein sorting-associated protein 53 homolog	PROTEIN_CODING	33640	NCBI Ortholog	NC_037643.1	16113179	16117152
550703	LOC550703	dephospho-CoA kinase	PROTEIN_CODING	40846	NCBI Ortholog	NC_037643.1	16341846	16343720
550710	LOC550710	serine/threonine-protein phosphatase 2A catalytic subunit	PROTEIN_CODING	45959	NCBI Ortholog	NC_037643.1	16587668	16592025
550711	LOC550711	60S acidic ribosomal protein P0	PROTEIN_CODING	40451	NCBI Ortholog	NC_037647.1	4670082	4673118
550715	LOC550715	60S ribosomal protein L12	PROTEIN_CODING	45329	NCBI Ortholog	NC_037647.1	251938	255423
550716	LOC550716	clathrin heavy chain	PROTEIN_CODING	32537	NCBI Ortholog	NC_037638.1	2229247	2238562
550724	LOC550724	3-hydroxy-3-methylglutaryl-coenzyme A reductase	PROTEIN_CODING	42803	NCBI Ortholog	NC_037638.1	22804630	22816929
550726	LOC550726	DCN1-like protein 1	PROTEIN_CODING	39685	NCBI Ortholog	NC_037647.1	8014374	8026022
550734	LOC550734	thioredoxin-like protein 1	PROTEIN_CODING	38646	NCBI Ortholog	NC_037651.1	6356826	6359193
550738	LOC550738	NEDD4 family-interacting protein 1-like	PROTEIN_CODING	326197	NCBI Ortholog	NC_037639.1	13720275	13722783
550739	LOC550739	serine/threonine-protein kinase PLK4	PROTEIN_CODING	40384	NCBI Ortholog	NC_037639.1	12540497	12543825
550748	LOC550748	stromal membrane-associated protein 1	PROTEIN_CODING	35890	NCBI Ortholog	NC_037641.1	4821331	4824419
550749	LOC550749	C-1-tetrahydrofolate synthase, cytoplasmic	PROTEIN_CODING	41279	NCBI Ortholog	NC_037642.1	3001133	3007290
550780	LOC550780	N-terminal Xaa-Pro-Lys N-methyltransferase 1	PROTEIN_CODING	36022	NCBI Ortholog	NC_037646.1	1621809	1623568
550785	LOC550785	fructose-bisphosphate aldolase	PROTEIN_CODING	43183	NCBI Ortholog	NC_037638.1	5783720	5803425
550789	LOC550789	selenocysteine Se-methyltransferase	PROTEIN_CODING			NC_037638.1	4813976	4815393
550791	LOC550791	arrestin homolog	PROTEIN_CODING	38993	NCBI Ortholog	NC_037647.1	9408686	9411243
550794	LOC550794	26S protease regulatory subunit 8	PROTEIN_CODING	33105	NCBI Ortholog	NC_037648.1	10062836	10064818
550801	LOC550801	ATP-dependent RNA helicase dbp2	PROTEIN_CODING			NC_037651.1	3422485	3426984
550806	LOC550806	coatomer subunit alpha	PROTEIN_CODING	38199	NCBI Ortholog	NC_037639.1	10415213	10419841
550808	LOC550808	WD repeat-containing protein 75	PROTEIN_CODING	35374	NCBI Ortholog	NC_037640.1	8380017	8389702
550811	LOC550811	protein timeless homolog	PROTEIN_CODING	41615	NCBI Ortholog	NC_037641.1	9333383	9513878
550814	LOC550814	MRG/MORF4L-binding protein	PROTEIN_CODING	35880	NCBI Ortholog	NC_037641.1	4818052	4819304
550822	LOC550822	egalitarian protein homolog	PROTEIN_CODING	37757	NCBI Ortholog	NC_037646.1	5773779	5777550
550827	LOC550827	tubulin alpha-1 chain	PROTEIN_CODING			NC_037643.1	13020093	13022252
550857	LOC550857	protein enhancer of sevenless 2B	PROTEIN_CODING	36497	NCBI Ortholog	NC_037651.1	5168099	5172184
550858	LOC550858	RNA-binding protein 40	PROTEIN_CODING	19834761	NCBI Ortholog	NC_037651.1	3419674	3422107
550869	LOC550869	N-acetylglucosamine-6-sulfatase	PROTEIN_CODING			NC_037643.1	1692233	1694506
550870	LOC550870	uncharacterized LOC550870	PROTEIN_CODING	32202	NCBI Ortholog	NC_037643.1	5459331	5654764
550885	LOC550885	nicotinate phosphoribosyltransferase	PROTEIN_CODING	33626	NCBI Ortholog	NC_037647.1	8034990	8041121
550895	LOC550895	general transcription factor IIH subunit 1	PROTEIN_CODING	36598	NCBI Ortholog	NC_037639.1	15221872	15225609
550903	LOC550903	arginine--tRNA ligase, cytoplasmic	PROTEIN_CODING	32539	NCBI Ortholog	NC_037638.1	4825154	4827974
550914	LOC550914	DNA ligase 1	PROTEIN_CODING			NC_037651.1	3416446	3419321
550918	LOC550918	ATP-binding cassette sub-family G member 4	PROTEIN_CODING	33636	NCBI Ortholog	NC_037641.1	12583497	12592860
550920	LOC550920	cell division cycle protein 16 homolog	PROTEIN_CODING	42753	NCBI Ortholog	NC_037641.1	3415321	3418686
550940	LOC550940	ATP-dependent RNA helicase DHX8	PROTEIN_CODING	36561	NCBI Ortholog	NC_037646.1	1917256	1921607
550955	LOC550955	putative gamma-glutamylcyclotransferase CG2811	PROTEIN_CODING	37988	NCBI Ortholog	NC_037650.1	3851716	3854279
550958	LOC550958	uncharacterized LOC550958	PROTEIN_CODING	39257	NCBI Ortholog	NC_037651.1	3410782	3412416
550966	LOC550966	RING-type E3 ubiquitin-protein ligase PPIL2	PROTEIN_CODING	36820	NCBI Ortholog	NC_037642.1	11233450	11235852
550969	LOC550969	serine/threonine-protein kinase RIO2	PROTEIN_CODING	43046	NCBI Ortholog	NC_037643.1	15338165	15340358
550973	LOC550973	myosin regulatory light chain sqh	PROTEIN_CODING	31554	NCBI Ortholog	NC_037648.1	2544645	2546480
550981	LOC550981	coatomer subunit zeta-1	PROTEIN_CODING	39862	NCBI Ortholog	NC_037651.1	1515069	1516590
550984	LOC550984	uncharacterized LOC550984	PROTEIN_CODING	40105	NCBI Ortholog	NC_037648.1	15088531	15094015
550991	LOC550991	protein HID1	PROTEIN_CODING	36336	NCBI Ortholog	NC_037640.1	8202124	8205704
550998	LOC550998	carbohydrate sulfotransferase 11	PROTEIN_CODING			NC_037647.1	6368455	6373447
551009	LOC551009	protein-glutamate O-methyltransferase	PROTEIN_CODING			NC_037639.1	5317805	5320083
551012	LOC551012	cation-independent mannose-6-phosphate receptor	PROTEIN_CODING	43223	NCBI Ortholog	NC_037641.1	8019485	8041628
551016	LOC551016	midasin	PROTEIN_CODING	36268	NCBI Ortholog	NC_037645.1	11437016	11551701
551029	LOC551029	inhibitor of growth protein 5	PROTEIN_CODING	34752	NCBI Ortholog	NC_037645.1	2608026	2609358
551031	LOC551031	uncharacterized LOC551031	PROTEIN_CODING			NC_037638.1	12312260	12348810
551033	LOC551033	pre-piRNA 3'-exonuclease trimmer	PROTEIN_CODING			NC_037649.1	8275813	8367051
551039	LOC551039	dihydrolipoyl dehydrogenase, mitochondrial	PROTEIN_CODING	39988	NCBI Ortholog	NC_037653.1	3132296	3135235
551042	LOC551042	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	PROTEIN_CODING	36159	NCBI Ortholog	NC_037640.1	6252259	6253269
551047	LOC551047	tetratricopeptide repeat protein 1	PROTEIN_CODING	41993	NCBI Ortholog	NC_037644.1	3700856	3702254
551055	LOC551055	1-acylglycerol-3-phosphate O-acyltransferase Pnpla3	PROTEIN_CODING	39611	NCBI Ortholog	NC_037643.1	9083191	9094373
551057	LOC551057	autophagy protein 5	PROTEIN_CODING	31666	NCBI Ortholog	NC_037640.1	2806703	2808869
551066	LOC551066	putative uncharacterized protein DDB_G0274405	PROTEIN_CODING			NC_037643.1	9063632	9071392
551069	LOC551069	diacylglycerol kinase 1	PROTEIN_CODING	35738	NCBI Ortholog	NC_037638.1	18453495	18534679
551078	LOC551078	NADH-quinone oxidoreductase subunit I	PROTEIN_CODING	44207	NCBI Ortholog	NC_037652.1	9023033	9025082
551087	LOC551087	periodic tryptophan protein 2 homolog	PROTEIN_CODING	36144	NCBI Ortholog	NC_037643.1	12980681	12985471
551088	LOC551088	asparagine--tRNA ligase, cytoplasmic	PROTEIN_CODING	35194	NCBI Ortholog	NC_037643.1	15418838	15421860
551094	LOC551094	fatty-acid amide hydrolase 2-B	PROTEIN_CODING			NC_037649.1	3219402	3239836
551097	LOC551097	exosome complex component MTR3	PROTEIN_CODING			NC_037646.1	1640328	1642114
551103	LOC551103	probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	PROTEIN_CODING			NC_037649.1	3090091	3092610
551104	LOC551104	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	PROTEIN_CODING	34302	NCBI Ortholog	NC_037645.1	12324914	12326993
551114	LOC551114	methyltransferase-like protein 9	PROTEIN_CODING	37794	NCBI Ortholog	NC_037648.1	7239903	7290654
551118	LOC551118	UPF0472 protein C16orf72 homolog	PROTEIN_CODING	32666	NCBI Ortholog	NC_037651.1	3390178	3396787
551119	LOC551119	pyridoxal phosphate homeostasis protein	PROTEIN_CODING	43588	NCBI Ortholog	NC_037652.1	9021109	9022810
551121	LOC551121	dipeptidase 1	PROTEIN_CODING	43184	NCBI Ortholog	NC_037639.1	13599690	13654101
551124	LOC551124	frizzled-2	PROTEIN_CODING	45307	NCBI Ortholog	NC_037640.1	12073019	12075755
551125	LOC551125	40S ribosomal protein S15Aa	PROTEIN_CODING			NC_037640.1	10171859	10173007
551126	LOC551126	protein FAM162B	PROTEIN_CODING			NC_037641.1	9055771	9057249
551128	LOC551128	26S proteasome regulatory subunit 4	PROTEIN_CODING	42828	NCBI Ortholog	NC_037642.1	9532860	9535384
551131	LOC551131	protein max	PROTEIN_CODING	40095	NCBI Ortholog	NC_037645.1	11637999	11639574
551143	LOC551143	inositol-3-phosphate synthase 1-B	PROTEIN_CODING	35671	NCBI Ortholog	NC_037647.1	10285073	10289480
551148	LOC551148	coiled-coil domain-containing protein 25	PROTEIN_CODING	31649	NCBI Ortholog	NC_037648.1	7060312	7061523
551150	LOC551150	BRCA2-interacting transcriptional repressor EMSY	PROTEIN_CODING	33370	NCBI Ortholog	NC_037643.1	16455362	16461624
551153	LOC551153	exodeoxyribonuclease	PROTEIN_CODING	33500	NCBI Ortholog	NC_037647.1	6435057	6436852
551167	LOC551167	multidrug resistance protein homolog 49	PROTEIN_CODING	36428	NCBI Ortholog	NC_037639.1	13438449	13494272
551168	LOC551168	protein sidekick	PROTEIN_CODING	31017	NCBI Ortholog	NC_037640.1	10173536	10219164
551171	LOC551171	peroxisomal membrane protein 2	PROTEIN_CODING	38205	NCBI Ortholog	NC_037640.1	5415070	5416293
551173	LOC551173	eukaryotic translation initiation factor 4E type 2	PROTEIN_CODING			NC_037641.1	3344852	3346273
551174	LOC551174	E3 SUMO-protein ligase PIAS3	PROTEIN_CODING	35927	NCBI Ortholog	NC_037642.1	4713946	4718328
551176	LOC551176	actin, clone 205	PROTEIN_CODING			NC_037642.1	13145200	13148497
551177	LOC551177	U11/U12 small nuclear ribonucleoprotein 35 kDa protein	PROTEIN_CODING			NC_037643.1	2056605	2058156
551182	LOC551182	phosphatidylinositol 4-kinase alpha	PROTEIN_CODING	31247	NCBI Ortholog	NC_037645.1	518119	528009
551184	LOC551184	eukaryotic translation initiation factor 3 subunit C	PROTEIN_CODING	37005	NCBI Ortholog	NC_037645.1	7795531	7799649
551185	LOC551185	GTP-binding protein 1	PROTEIN_CODING	37080	NCBI Ortholog	NC_037642.1	151213	154212
551188	LOC551188	ankyrin repeat and BTB/POZ domain-containing protein BTBD11	PROTEIN_CODING	2768995	NCBI Ortholog	NC_037643.1	12928167	12952473
551191	LOC551191	coiled-coil domain-containing protein 130 homolog	PROTEIN_CODING	37178	NCBI Ortholog	NC_037651.1	6755153	6756768
551200	LOC551200	coiled-coil domain-containing protein 12	PROTEIN_CODING	43556	NCBI Ortholog	NC_037649.1	2448089	2451569
551204	LOC551204	endonuclease III-like protein 1	PROTEIN_CODING	35365	NCBI Ortholog	NC_037638.1	1815343	1816983
551205	LOC551205	neutral alpha-glucosidase AB	PROTEIN_CODING	49953	NCBI Ortholog	NC_037638.1	15211531	15215886
551207	LOC551207	RNA polymerase II subunit A C-terminal domain phosphatase	PROTEIN_CODING	37925	NCBI Ortholog	NC_037638.1	21015870	21019587
551208	LOC551208	3-hydroxyisobutyrate dehydrogenase, mitochondrial	PROTEIN_CODING	37166	NCBI Ortholog	NC_037638.1	24544351	24549072
551210	LOC551210	myosin-2 heavy chain	PROTEIN_CODING			NC_037647.1	7713295	7716261
551217	LOC551217	high affinity copper uptake protein 1	PROTEIN_CODING	31601	NCBI Ortholog	NC_037640.1	3479883	3487468
551219	LOC551219	DNA polymerase iota	PROTEIN_CODING	40965	NCBI Ortholog	NC_037642.1	4719726	4721854
551226	LOC551226	WD repeat-containing protein 61	PROTEIN_CODING	41226	NCBI Ortholog	NC_037645.1	3732417	3734216
551231	LOC551231	phosphatidate cytidylyltransferase, photoreceptor-specific	PROTEIN_CODING	43950	NCBI Ortholog	NC_037647.1	363221	367738
551240	LOC551240	uncharacterized LOC551240	PROTEIN_CODING			NC_037649.1	3341969	3343941
551249	LOC551249	uncharacterized LOC551249	PROTEIN_CODING	37621	NCBI Ortholog	NC_037650.1	8708008	8719657
551250	LOC551250	microsomal triglyceride transfer protein large subunit	PROTEIN_CODING	35362	NCBI Ortholog	NC_037650.1	10296741	10307538
551256	LOC551256	protein CNPPD1	PROTEIN_CODING	3354930	NCBI Ortholog	NC_037640.1	8337479	8339585
551258	LOC551258	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	PROTEIN_CODING	43312	NCBI Ortholog	NC_037642.1	8400485	8424389
551259	LOC551259	titin	PROTEIN_CODING	44013	NCBI Ortholog	NC_037644.1	8852924	9058966
551269	LOC551269	HBS1-like protein	PROTEIN_CODING	117365	NCBI Ortholog	NC_037644.1	4857246	4862776
551270	LOC551270	integrator complex subunit 9	PROTEIN_CODING	39763	NCBI Ortholog	NC_037647.1	4693673	4696661
551273	LOC551273	lysosomal Pro-X carboxypeptidase	PROTEIN_CODING	35316	NCBI Ortholog	NC_037639.1	4554419	4556928
551276	LOC551276	isocitrate dehydrogenase [NADP] cytoplasmic	PROTEIN_CODING	44291	NCBI Ortholog	NC_037648.1	14903046	14905875
551279	LOC551279	zinc finger CCCH domain-containing protein 11A	PROTEIN_CODING			NC_037638.1	2256219	2268670
551284	LOC551284	COP9 signalosome complex subunit 4	PROTEIN_CODING	35759	NCBI Ortholog	NC_037649.1	8482173	8485880
551290	LOC551290	cathepsin O	PROTEIN_CODING			NC_037639.1	13382810	13385215
551293	LOC551293	telomere length and silencing protein 1 homolog	PROTEIN_CODING	38207	NCBI Ortholog	NC_037644.1	13403233	13405146
551303	LOC551303	hexosaminidase D	PROTEIN_CODING			NC_037651.1	8087300	8090653
551305	LOC551305	protein CLP1 homolog	PROTEIN_CODING	36494	NCBI Ortholog	NC_037646.1	890650	892386
551308	LOC551308	probable serine/threonine-protein kinase ndrD	PROTEIN_CODING	33928	NCBI Ortholog	NC_037645.1	11683364	11696383
551313	LOC551313	calcineurin subunit B type 2	PROTEIN_CODING			NC_037648.1	14880279	14881661
551314	LOC551314	heparan-alpha-glucosaminide N-acetyltransferase	PROTEIN_CODING			NC_037642.1	12698593	12702091
551316	LOC551316	DNA excision repair protein ERCC-1	PROTEIN_CODING	36654	NCBI Ortholog	NC_037652.1	817147	818362
551318	LOC551318	uncharacterized LOC551318	PROTEIN_CODING			NC_037638.1	8246180	8246858
551320	LOC551320	schwannomin-interacting protein 1 homolog	PROTEIN_CODING	34393	NCBI Ortholog	NC_037638.1	24577935	24610093
551321	LOC551321	39S ribosomal protein L44, mitochondrial	PROTEIN_CODING	40656	NCBI Ortholog	NC_037638.1	4481770	4483475
